,zone,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount,response,coverage,effective to date,employmentstatus,location code,marital status,months since last claim,months since policy inception,number of policies,policy,renew offer type,sales channel,vehicle size,vehicle type
41,central,f,bachelor,7486.02,38144.0,71.0,0,corporate auto,four-door car,340.8,,,,,,,,,,,,,,
42,west region,f,master,3427.15,58840.0,86.0,0,corporate auto,two-door car,73.27,,,,,,,,,,,,,,
43,north west,m,bachelor,7521.28,38144.0,115.0,0,personal auto,suv,987.29,,,,,,,,,,,,,,
44,central,m,college,21123.12,38144.0,69.0,0,personal auto,two-door car,496.8,,,,,,,,,,,,,,
45,north west,m,college,8658.86,62464.0,109.0,0,personal auto,sports car,400.18,,,,,,,,,,,,,,
46,west region,f,bachelor,5243.45,96535.0,66.0,0,personal auto,four-door car,271.07,,,,,,,,,,,,,,
47,central,m,bachelor,4521.19,39426.0,114.0,0,special auto,suv,412.88,,,,,,,,,,,,,,
48,north west,f,high school or below,2274.67,38144.0,64.0,0,corporate auto,four-door car,621.97,,,,,,,,,,,,,,
49,central,m,college,5357.26,39604.0,68.0,0,personal auto,four-door car,63.13,,,,,,,,,,,,,,
50,east,f,high school or below,2814.44,30703.0,70.0,0,personal auto,four-door car,336.0,,,,,,,,,,,,,,
51,north west,m,bachelor,10861.71,64744.0,139.0,0,personal auto,suv,41.31,,,,,,,,,,,,,,
52,central,f,bachelor,5792.67,87382.0,72.0,0,personal auto,four-door car,345.6,,,,,,,,,,,,,,
53,central,f,college,11828.61,38144.0,111.0,0,personal auto,suv,1018.81,,,,,,,,,,,,,,
54,central,m,bachelor,10569.63,45776.0,89.0,0,personal auto,four-door car,95.95,,,,,,,,,,,,,,
55,north west,f,high school or below,4112.84,25030.0,113.0,4,personal auto,sports car,542.4,,,,,,,,,,,,,,
56,west region,m,high school or below,2688.88,50719.0,68.0,0,personal auto,four-door car,394.25,,,,,,,,,,,,,,
57,north west,f,bachelor,4855.77,24149.0,61.0,0,personal auto,four-door car,292.8,,,,,,,,,,,,,,
58,west region,f,high school or below,5605.38,21171.0,72.0,0,corporate auto,four-door car,345.6,,,,,,,,,,,,,,
59,west region,f,college,13749.37,82753.0,114.0,0,personal auto,four-door car,264.67,,,,,,,,,,,,,,
60,central,f,college,7296.49,38144.0,67.0,0,personal auto,two-door car,321.6,,,,,,,,,,,,,,
61,west region,f,college,4163.04,43276.0,104.0,0,personal auto,suv,499.2,,,,,,,,,,,,,,
62,central,m,high school or below,13583.62,58544.0,114.0,0,personal auto,four-door car,769.79,,,,,,,,,,,,,,
63,north west,m,high school or below,10209.93,43736.0,128.0,0,personal auto,suv,614.4,,,,,,,,,,,,,,
64,central,f,college,4803.24,37313.0,62.0,0,personal auto,four-door car,246.58,,,,,,,,,,,,,,
65,north west,f,college,6273.91,18577.0,86.0,0,personal auto,four-door car,412.8,,,,,,,,,,,,,,
66,central,f,bachelor,8436.35,49182.0,70.0,0,personal auto,two-door car,165.41,,,,,,,,,,,,,,
67,north west,m,bachelor,17254.04,38144.0,69.0,1,personal auto,four-door car,331.2,,,,,,,,,,,,,,
68,north west,m,bachelor,30966.32,38144.0,109.0,0,personal auto,suv,691.4,,,,,,,,,,,,,,
69,central,m,bachelor,4533.73,91967.0,113.0,0,special auto,suv,156.74,,,,,,,,,,,,,,
70,west region,f,high school or below,7892.09,28672.0,71.0,0,personal auto,four-door car,340.8,,,,,,,,,,,,,,
71,west region,f,bachelor,38887.9,44299.0,107.0,0,personal auto,two-door car,180.09,,,,,,,,,,,,,,
72,north west,m,master,5543.8,64255.0,70.0,0,personal auto,four-door car,193.87,,,,,,,,,,,,,,
73,north west,m,college,4686.47,58089.0,118.0,0,personal auto,suv,566.4,,,,,,,,,,,,,,
74,central,f,bachelor,8099.4,60932.0,101.0,0,corporate auto,suv,484.8,,,,,,,,,,,,,,
75,west region,m,college,5412.7,38144.0,80.0,0,personal auto,four-door car,576.0,,,,,,,,,,,,,,
76,central,f,high school or below,24543.2,68297.0,212.0,3,corporate auto,luxury car,1272.49,,,,,,,,,,,,,,
77,central,f,college,3452.03,61385.0,86.0,0,personal auto,four-door car,199.3,,,,,,,,,,,,,,
78,east,m,college,7503.37,52464.0,95.0,0,personal auto,four-door car,515.93,,,,,,,,,,,,,,
79,west region,m,college,4386.28,10621.0,67.0,0,personal auto,four-door car,321.6,,,,,,,,,,,,,,
80,central,m,bachelor,16473.17,22828.0,106.0,0,personal auto,suv,508.8,,,,,,,,,,,,,,
81,west region,f,college,7123.69,16139.0,62.0,0,personal auto,four-door car,297.6,,,,,,,,,,,,,,
82,west region,f,bachelor,5318.9,25134.0,67.0,0,personal auto,four-door car,321.6,,,,,,,,,,,,,,
83,west region,f,master,4014.33,54054.0,99.0,0,personal auto,four-door car,5.66,,,,,,,,,,,,,,
84,west region,f,college,30313.31,67117.0,85.0,0,personal auto,two-door car,329.42,,,,,,,,,,,,,,
85,west region,f,high school or below,2990.33,73137.0,74.0,1,corporate auto,four-door car,227.8,,,,,,,,,,,,,,
86,west region,f,high school or below,8845.07,95850.0,109.0,0,corporate auto,sports car,328.5,,,,,,,,,,,,,,
87,west region,f,college,10144.31,27231.0,88.0,0,personal auto,four-door car,422.4,,,,,,,,,,,,,,
88,west region,f,high school or below,5755.18,97657.0,71.0,0,personal auto,two-door car,107.33,,,,,,,,,,,,,,
89,west region,f,college,14627.93,40711.0,121.0,0,personal auto,suv,580.8,,,,,,,,,,,,,,
90,west region,m,college,5406.69,21855.0,74.0,1,corporate auto,four-door car,355.2,,,,,,,,,,,,,,
91,west region,f,master,2671.17,23305.0,68.0,0,personal auto,four-door car,127.16,,,,,,,,,,,,,,
92,west region,m,high school or below,3531.35,38144.0,98.0,0,corporate auto,two-door car,958.5,,,,,,,,,,,,,,
93,west region,f,master,4975.17,44723.0,124.0,0,personal auto,suv,341.09,,,,,,,,,,,,,,
94,west region,f,high school or below,2648.35,29587.0,69.0,0,personal auto,two-door car,331.2,,,,,,,,,,,,,,
95,west region,f,master,4564.51,12626.0,69.0,4,personal auto,four-door car,331.2,,,,,,,,,,,,,,
96,west region,m,bachelor,6600.48,38144.0,110.0,3,personal auto,sports car,1011.77,,,,,,,,,,,,,,
97,west region,m,high school or below,9336.12,45262.0,117.0,0,corporate auto,four-door car,842.4,,,,,,,,,,,,,,
98,west region,m,bachelor,2469.09,38144.0,71.0,0,corporate auto,four-door car,484.88,,,,,,,,,,,,,,
99,west region,f,high school or below,3045.06,53441.0,76.0,0,personal auto,two-door car,364.8,,,,,,,,,,,,,,
100,west region,f,high school or below,3802.99,38144.0,108.0,0,personal auto,sports car,932.65,,,,,,,,,,,,,,
101,west region,f,bachelor,19327.87,57245.0,124.0,0,corporate auto,sports car,681.58,,,,,,,,,,,,,,
102,west region,f,bachelor,4957.16,38144.0,67.0,0,personal auto,four-door car,321.6,,,,,,,,,,,,,,
103,west region,f,college,3384.47,54603.0,86.0,0,corporate auto,four-door car,412.8,,,,,,,,,,,,,,
104,west region,f,high school or below,5006.61,38144.0,71.0,0,personal auto,two-door car,358.99,,,,,,,,,,,,,,
105,west region,m,high school or below,3997.48,38144.0,62.0,1,corporate auto,four-door car,552.85,,,,,,,,,,,,,,
106,west region,m,college,8080.95,85210.0,68.0,0,personal auto,two-door car,32.71,,,,,,,,,,,,,,
107,west region,f,high school or below,16320.77,38144.0,247.0,3,personal auto,luxury car,1778.4,,,,,,,,,,,,,,
108,west region,f,bachelor,7687.3,38144.0,109.0,0,personal auto,suv,523.2,,,,,,,,,,,,,,
109,west region,m,bachelor,3450.07,68082.0,88.0,0,personal auto,four-door car,39.58,,,,,,,,,,,,,,
110,west region,f,bachelor,8132.7,36737.0,102.0,0,corporate auto,sports car,512.86,,,,,,,,,,,,,,
111,west region,m,doctor,3528.04,31278.0,92.0,4,personal auto,two-door car,441.6,,,,,,,,,,,,,,
112,west region,f,high school or below,7522.07,47727.0,94.0,0,corporate auto,two-door car,451.2,,,,,,,,,,,,,,
113,west region,m,college,11790.5,25251.0,66.0,0,personal auto,four-door car,316.8,,,,,,,,,,,,,,
114,west region,m,college,10212.02,93920.0,84.0,0,corporate auto,four-door car,213.03,,,,,,,,,,,,,,
115,west region,m,bachelor,2556.67,38144.0,71.0,0,corporate auto,four-door car,340.8,,,,,,,,,,,,,,
116,west region,f,master,4904.46,27593.0,63.0,0,corporate auto,two-door car,241.23,,,,,,,,,,,,,,
117,west region,f,bachelor,12741.85,73054.0,106.0,1,personal auto,suv,419.37,,,,,,,,,,,,,,
118,west region,f,college,4298.66,76778.0,107.0,1,personal auto,suv,500.67,,,,,,,,,,,,,,
119,west region,f,bachelor,3351.21,90213.0,83.0,0,personal auto,two-door car,398.4,,,,,,,,,,,,,,
120,west region,m,college,18635.9,11656.0,70.0,0,personal auto,two-door car,336.0,,,,,,,,,,,,,,
121,west region,m,college,2130.35,38144.0,62.0,0,corporate auto,two-door car,446.4,,,,,,,,,,,,,,
122,west region,m,college,2702.69,22415.0,69.0,0,personal auto,four-door car,352.89,,,,,,,,,,,,,,
123,west region,m,college,2736.35,17533.0,73.0,0,personal auto,two-door car,350.4,,,,,,,,,,,,,,
124,west region,f,master,9191.73,23823.0,115.0,0,corporate auto,sports car,567.48,,,,,,,,,,,,,,
125,west region,m,bachelor,4711.04,24843.0,61.0,2,personal auto,four-door car,331.33,,,,,,,,,,,,,,
126,west region,f,college,2980.01,13535.0,80.0,1,personal auto,four-door car,384.0,,,,,,,,,,,,,,
127,west region,f,college,9498.47,38144.0,90.0,0,personal auto,two-door car,432.0,,,,,,,,,,,,,,
128,west region,m,college,7083.64,97024.0,177.0,0,personal auto,suv,686.82,,,,,,,,,,,,,,
129,west region,f,high school or below,30104.52,38144.0,94.0,0,corporate auto,two-door car,848.74,,,,,,,,,,,,,,
130,west region,f,doctor,2518.74,39317.0,64.0,0,personal auto,four-door car,77.7,,,,,,,,,,,,,,
131,west region,m,bachelor,3843.97,43987.0,96.0,0,personal auto,four-door car,460.8,,,,,,,,,,,,,,
132,west region,m,master,9075.77,37722.0,116.0,0,personal auto,sports car,158.08,,,,,,,,,,,,,,
133,west region,m,college,3622.87,38144.0,108.0,0,corporate auto,suv,1254.18,,,,,,,,,,,,,,
134,west region,f,high school or below,7501.66,38874.0,94.0,0,corporate auto,four-door car,331.17,,,,,,,,,,,,,,
135,west region,f,college,4100.4,47761.0,104.0,0,personal auto,four-door car,541.28,,,,,,,,,,,,,,
136,west region,m,bachelor,8163.89,38144.0,85.0,3,corporate auto,four-door car,790.78,,,,,,,,,,,,,,
137,west region,f,college,3700.39,17557.0,96.0,0,personal auto,,666.72,no,extended,2/17/11,retired,suburban,married,6.0,5.0,1.0,personal l2,offer4,web,,
138,central,f,bachelor,3764.47,92600.0,94.0,0,corporate auto,two-door car,842.44,no,extended,2/17/11,employed,suburban,single,9.0,48.0,1.0,corporate l2,offer3,web,small,a
139,west region,f,high school or below,3045.06,53441.0,76.0,0,personal auto,two-door car,364.8,no,extended,1/6/11,employed,suburban,married,11.0,78.0,1.0,personal l3,offer4,agent,medsize,
140,north west,f,high school or below,9928.87,75425.0,123.0,0,personal auto,sports car,823.8,no,extended,1/1/11,employed,suburban,married,3.0,49.0,6.0,personal l1,offer1,branch,large,a
141,north west,m,bachelor,2619.34,78618.0,66.0,0,special auto,two-door car,225.58,yes,basic,2/5/11,employed,urban,divorced,7.0,56.0,1.0,special l3,offer1,agent,medsize,
142,east,m,master,43026.52,59349.0,119.0,0,personal auto,suv,222.03,no,basic,1/7/11,employed,rural,married,15.0,41.0,2.0,personal l3,offer2,web,medsize,
143,north west,m,college,10018.66,30720.0,139.0,4,personal auto,suv,778.46,no,extended,2/18/11,employed,suburban,married,17.0,24.0,5.0,personal l2,offer3,agent,small,a
144,central,m,high school or below,6414.08,38144.0,89.0,0,personal auto,four-door car,640.8,no,extended,1/22/11,unemployed,suburban,single,0.0,12.0,5.0,personal l3,offer1,call center,medsize,
145,west region,m,college,10212.02,93920.0,84.0,0,corporate auto,four-door car,213.03,no,extended,1/11/11,employed,urban,married,20.0,13.0,2.0,corporate l3,offer2,web,medsize,a
146,north west,f,doctor,7163.54,38144.0,66.0,0,personal auto,two-door car,316.8,no,basic,1/1/11,unemployed,suburban,single,8.0,11.0,2.0,personal l3,offer4,branch,small,
147,west region,m,high school or below,2129.06,38144.0,61.0,1,corporate auto,four-door car,292.8,no,basic,1/11/11,unemployed,suburban,divorced,13.0,81.0,1.0,corporate l3,offer1,agent,medsize,
148,north west,f,college,2927.52,20852.0,73.0,0,personal auto,two-door car,383.79,no,basic,2/23/11,employed,suburban,married,8.0,6.0,1.0,personal l3,offer3,branch,small,a
149,central,m,high school or below,6167.85,27289.0,158.0,2,personal auto,sports car,758.4,no,premium,1/17/11,employed,suburban,married,4.0,78.0,1.0,personal l3,offer2,agent,medsize,
150,north west,m,bachelor,16775.81,89030.0,139.0,0,personal auto,suv,49.57,no,extended,1/5/11,employed,rural,married,31.0,62.0,2.0,personal l3,offer3,agent,medsize,a
151,nan,m,college,12067.46,38144.0,116.0,0,personal auto,,1284.09,,basic,1/2/11,unemployed,suburban,single,14.0,35.0,2.0,personal l2,offer1,agent,,
152,west region,m,high school or below,2805.18,98859.0,70.0,0,personal auto,four-door car,504.0,no,basic,1/14/11,employed,suburban,divorced,3.0,57.0,1.0,personal l1,offer4,web,small,
153,central,m,bachelor,4881.39,90892.0,61.0,0,personal auto,two-door car,102.32,no,basic,2/9/11,employed,rural,married,1.0,31.0,6.0,personal l2,offer2,branch,medsize,
154,west region,m,bachelor,3673.99,41185.0,99.0,4,special auto,four-door car,363.61,no,extended,1/31/11,employed,urban,married,20.0,6.0,1.0,special l3,offer2,agent,medsize,a
155,nan,m,high school or below,2914.09,28523.0,77.0,0,corporate auto,four-door car,369.6,,extended,1/25/11,disabled,suburban,married,15.0,12.0,1.0,corporate l1,offer3,agent,large,
156,north west,f,high school or below,12324.27,38144.0,113.0,0,personal auto,four-door car,813.6,no,premium,1/11/11,unemployed,suburban,single,5.0,90.0,2.0,personal l2,offer2,branch,medsize,
157,west region,f,bachelor,14134.35,90844.0,118.0,0,personal auto,suv,232.67,no,basic,2/10/11,employed,rural,divorced,10.0,98.0,2.0,personal l3,offer1,agent,medsize,
158,nan,m,bachelor,16473.17,22828.0,106.0,0,personal auto,,508.8,,basic,2/24/11,retired,suburban,married,11.0,54.0,2.0,personal l2,offer1,agent,,
159,east,f,high school or below,6481.38,38144.0,92.0,0,personal auto,four-door car,441.6,no,extended,2/11/11,unemployed,suburban,single,1.0,17.0,6.0,personal l2,offer3,agent,medsize,
160,central,f,bachelor,29973.42,48471.0,83.0,1,personal auto,four-door car,208.9,no,extended,2/16/11,employed,rural,married,5.0,20.0,2.0,personal l2,offer1,call center,medsize,a
161,east,f,high school or below,2593.9,38144.0,72.0,0,personal auto,four-door car,345.6,no,basic,1/21/11,unemployed,suburban,single,31.0,99.0,1.0,personal l1,offer3,call center,large,a
162,central,f,high school or below,4886.54,76374.0,61.0,0,personal auto,four-door car,292.8,no,basic,1/27/11,employed,suburban,divorced,21.0,28.0,7.0,personal l3,offer2,call center,small,
163,west region,f,high school or below,2674.23,33451.0,67.0,0,personal auto,four-door car,337.22,no,basic,1/17/11,employed,suburban,married,0.0,1.0,1.0,personal l2,offer2,agent,medsize,a
164,west region,f,bachelor,7540.39,38144.0,68.0,0,personal auto,,519.76,no,basic,1/24/11,unemployed,suburban,single,24.0,42.0,2.0,personal l1,offer1,branch,,
165,west region,m,college,7524.44,21941.0,96.0,0,personal auto,four-door car,691.2,no,extended,2/3/11,employed,suburban,married,34.0,3.0,3.0,personal l2,offer3,branch,large,
166,west region,f,bachelor,2544.34,41059.0,64.0,0,corporate auto,four-door car,151.67,no,basic,2/4/11,employed,rural,married,6.0,12.0,1.0,corporate l3,offer2,branch,medsize,
167,west region,f,college,7764.27,58419.0,191.0,0,personal auto,luxury car,202.47,no,basic,2/4/11,employed,rural,married,29.0,6.0,1.0,personal l2,offer4,call center,medsize,
168,east,f,college,4865.37,27228.0,129.0,4,personal auto,sports car,238.26,no,extended,1/25/11,employed,rural,married,19.0,61.0,1.0,personal l3,offer4,branch,medsize,
169,north west,f,bachelor,5297.67,33832.0,67.0,1,corporate auto,four-door car,321.6,no,basic,1/4/11,employed,suburban,married,22.0,47.0,9.0,corporate l3,offer3,branch,small,
170,west region,f,college,3371.53,38144.0,102.0,3,personal auto,suv,489.6,no,basic,2/1/11,unemployed,suburban,single,2.0,36.0,1.0,personal l2,offer1,agent,medsize,
171,west region,f,high school or below,6021.84,38144.0,168.0,0,personal auto,suv,1476.67,no,premium,2/25/11,unemployed,suburban,single,11.0,46.0,1.0,personal l3,offer1,agent,medsize,
172,central,m,bachelor,4508.86,83777.0,112.0,0,personal auto,sports car,377.35,no,basic,2/8/11,employed,urban,married,18.0,74.0,1.0,personal l3,offer1,branch,small,
173,central,m,high school or below,5459.22,83208.0,68.0,0,special auto,four-door car,325.87,no,basic,2/22/11,employed,urban,married,10.0,93.0,4.0,special l2,offer2,call center,small,a
174,west region,m,bachelor,12316.8,38144.0,167.0,0,personal auto,suv,1986.0,no,premium,2/22/11,unemployed,suburban,married,30.0,40.0,5.0,personal l3,offer2,branch,small,a
175,central,f,bachelor,7486.02,38144.0,71.0,0,corporate auto,four-door car,340.8,no,basic,2/16/11,unemployed,suburban,divorced,14.0,62.0,2.0,corporate l1,offer3,call center,medsize,
176,west region,m,high school or below,4145.02,38144.0,118.0,0,corporate auto,suv,566.4,no,basic,1/2/11,unemployed,suburban,divorced,12.0,88.0,1.0,corporate l3,offer1,call center,medsize,
177,west region,m,high school or below,6514.95,38144.0,61.0,1,personal auto,four-door car,292.8,no,basic,2/14/11,unemployed,suburban,married,12.0,75.0,2.0,personal l3,offer2,agent,small,a
178,west region,f,college,2722.21,17576.0,71.0,0,special auto,four-door car,398.5,yes,basic,2/2/11,medical leave,suburban,married,29.0,70.0,1.0,special l2,offer2,call center,medsize,
179,west region,f,high school or below,15002.6,19245.0,84.0,1,personal auto,four-door car,604.8,no,extended,1/19/11,disabled,suburban,single,5.0,61.0,2.0,personal l3,offer2,agent,small,
180,central,f,high school or below,16107.19,63288.0,199.0,0,personal auto,luxury car,558.43,no,basic,1/16/11,employed,urban,married,12.0,92.0,5.0,personal l1,offer1,web,medsize,
181,east,m,high school or below,4082.17,57506.0,102.0,0,personal auto,sports car,615.24,no,basic,1/8/11,employed,suburban,married,24.0,43.0,1.0,personal l1,offer4,agent,small,a
182,east,m,bachelor,2549.79,72217.0,64.0,0,personal auto,four-door car,91.15,no,basic,2/12/11,employed,rural,married,13.0,15.0,1.0,personal l2,offer2,branch,medsize,a
183,nan,m,high school or below,6758.81,38144.0,191.0,0,personal auto,luxury car,2042.57,,basic,2/7/11,unemployed,suburban,single,22.0,38.0,1.0,personal l2,offer3,web,medsize,a
184,west region,f,college,6273.91,18577.0,86.0,0,personal auto,four-door car,412.8,yes,extended,2/16/11,retired,suburban,divorced,21.0,76.0,6.0,personal l3,offer1,branch,medsize,
185,central,f,bachelor,10388.55,61222.0,89.0,0,special auto,four-door car,392.6,no,extended,1/11/11,employed,urban,single,20.0,55.0,2.0,special l3,offer3,branch,small,a
186,north west,f,master,22806.47,10337.0,67.0,0,personal auto,four-door car,321.6,no,basic,2/6/11,retired,suburban,married,16.0,56.0,2.0,personal l3,offer2,branch,small,
187,north west,f,college,10388.99,33432.0,90.0,0,corporate auto,two-door car,161.42,no,extended,1/10/11,employed,rural,single,28.0,43.0,2.0,corporate l3,offer1,agent,medsize,
188,nan,f,college,3969.43,49544.0,101.0,0,personal auto,suv,0.77,,basic,2/5/11,employed,rural,single,3.0,29.0,1.0,personal l3,offer1,agent,medsize,a
189,east,m,bachelor,8641.53,78904.0,109.0,0,personal auto,suv,250.0,no,basic,2/12/11,employed,rural,divorced,10.0,38.0,9.0,personal l3,offer4,branch,large,
190,north west,m,bachelor,9766.22,75651.0,81.0,0,personal auto,four-door car,375.11,no,extended,2/12/11,employed,urban,married,23.0,60.0,2.0,personal l2,offer2,agent,large,
191,east,f,college,8459.05,92717.0,70.0,0,personal auto,two-door car,224.28,no,basic,1/3/11,employed,urban,married,24.0,19.0,2.0,personal l3,offer4,call center,medsize,
192,north west,f,master,13736.13,16181.0,181.0,0,personal auto,suv,1261.32,yes,premium,2/13/11,disabled,suburban,divorced,22.0,79.0,8.0,personal l3,offer1,web,medsize,
193,central,f,high school or below,2372.16,19030.0,62.0,0,corporate auto,two-door car,355.82,no,basic,1/18/11,medical leave,suburban,married,7.0,22.0,1.0,corporate l3,offer3,branch,medsize,
194,east,m,high school or below,2322.57,38144.0,63.0,0,corporate auto,four-door car,453.6,no,basic,2/10/11,unemployed,suburban,single,8.0,87.0,1.0,corporate l3,offer1,agent,medsize,
195,west region,m,college,7320.99,99722.0,61.0,0,personal auto,four-door car,292.8,no,basic,1/9/11,employed,suburban,single,6.0,48.0,2.0,personal l3,offer4,call center,small,a
196,west region,m,bachelor,5644.47,33137.0,74.0,0,personal auto,two-door car,472.5,no,basic,2/9/11,employed,suburban,single,16.0,8.0,4.0,personal l2,offer3,web,medsize,
197,north west,m,master,14050.17,38144.0,73.0,1,corporate auto,four-door car,350.4,no,basic,1/10/11,unemployed,suburban,married,8.0,71.0,2.0,corporate l1,offer3,branch,small,
198,north west,f,college,3460.67,14262.0,90.0,0,personal auto,four-door car,290.43,no,extended,1/16/11,disabled,urban,married,27.0,9.0,1.0,personal l3,offer1,agent,medsize,
199,north west,f,college,4708.2,47829.0,117.0,1,personal auto,suv,561.6,no,basic,1/25/11,employed,suburban,married,23.0,37.0,1.0,personal l3,offer3,call center,medsize,a
200,west region,f,high school or below,2784.91,20814.0,72.0,0,personal auto,,288.59,no,basic,2/12/11,disabled,urban,married,16.0,57.0,1.0,personal l2,offer3,call center,,
201,east,m,college,2050.62,38144.0,61.0,0,personal auto,four-door car,292.8,no,basic,2/16/11,unemployed,suburban,single,18.0,26.0,1.0,personal l3,offer2,agent,small,a
202,central,f,high school or below,4048.16,92801.0,100.0,0,personal auto,suv,407.05,no,basic,2/5/11,employed,urban,married,24.0,23.0,1.0,personal l2,offer2,web,medsize,
203,north west,f,college,2472.47,63860.0,62.0,0,personal auto,four-door car,208.6,yes,basic,1/20/11,employed,urban,married,26.0,81.0,1.0,personal l2,offer2,agent,medsize,
204,west region,f,bachelor,4836.75,38144.0,136.0,0,personal auto,suv,979.2,no,extended,1/3/11,unemployed,suburban,single,8.0,2.0,1.0,personal l2,offer1,branch,small,
205,north west,m,high school or below,2442.22,38144.0,74.0,3,personal auto,four-door car,532.8,no,basic,1/7/11,unemployed,suburban,single,15.0,9.0,1.0,personal l1,offer4,branch,medsize,a
206,west region,m,master,2961.31,22608.0,77.0,0,personal auto,four-door car,369.6,no,extended,2/28/11,medical leave,suburban,married,5.0,10.0,1.0,personal l1,offer2,agent,small,
207,central,f,college,5227.1,93087.0,131.0,3,corporate auto,sports car,628.8,no,extended,2/11/11,employed,suburban,married,14.0,25.0,1.0,corporate l3,offer1,agent,medsize,
